client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641358.mp3	04a9b4b3f086c42c68f35d7f37860fb1c2f74e81eacd1822fa3cfc0ef3f0ed74	可惜同嘅人手快閂咗門		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641361.mp3	43dcdf0f2ad5fc97f5eb986d9027b1c5082db487d1035582c94fa52fffefd286	買碟睇演唱會？		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641362.mp3	4058b0ecbcdcd78e1893f8f1878c733cdb83bcb30dd65c42f8eb2894eb894ca7	唔可以一嚟就鹹濕，嚇親人		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641363.mp3	2ef8b31943e055b857945dd9bee13331225c210ff35b1e92747df0be26ecb960	我全家都唔用任何外送網購服務嘅		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641365.mp3	4419595f21924c7cb7b407a815779aeadd987d555bce1b2cc87c06c0f18f6adf	就噉幾年過去		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641367.mp3	20db2a0944710829e4c1cd72a4cf9d2a880eb1bd874afd4c557a022b0d4a6b4a	我仲係同有啲教廣東話嘅人講九聲六調		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641368.mp3	3e0e484c4ac567b008e0268741902528100ab88b0bac3a49983066f484ba761e	可能會欣賞下		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641369.mp3	097dfe883cb583c3f4eabffc20111e0223923e65ccad94a7ea302fe9e2066be6	想直接喺枱頭瞓，喺廁所瞓好辛苦		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641371.mp3	467d035cd3a0e318842fc551570adce5522d477d4cd0bd21a6575dafa0decb0f	對你好失望		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641381.mp3	1aeb74225ec07a3c479b4f069efa4cd263048932cc80a128e7f756f835bcbeaa	少少想喊		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641382.mp3	38a70e18105e0155498725b006a4da17d7077afd7082be570edf0e9fe2bc9a82	人哋拍嗰時六十路咋		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641383.mp3	2da70b92b6d5e6782e97b44a453884f2651b38f736087286a2d2a95ab964d60d	識到我真係辛苦你		3	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641384.mp3	30f2da5c91791fad9d3efa343fd415cff01073eac8dd4c7a38442ece47c3f108	吓？佢喺咩地方買飛？		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641385.mp3	18677b22f51a2078495617e793fd2e9f5d94e6149cc3bab521ffbf80a7a42cd8	細個屋企唔俾學外語		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641527.mp3	1a3bc6e63bfbbe1c958ac0f112be3d2c4b7057cae27f895c1e9288f68e49f329	姐姐撐同志		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641531.mp3	22dab1704f1a2316bfffe0280e87e06fa59f00dbb0077106c85ad27a60cfc3bb	你講得好有道理，我唔係唔夠係直頭零行動		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641533.mp3	39b96d6966b4eb6cc8d4b7ee3a06f3b2416bd921f669b862bed1ce26146ab6bf	中大都唔係度度有啦，啲職員教授嘅意識		3	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641534.mp3	4c1c6e7be23729473c8286b27f14ebddf860edb93864150bad7cff314f51330b	你好多女要溝使費大？		3	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641537.mp3	0d01f36250f0c85c38bcd6d3ffad7b85da23aa6e43cd9c219f4f7cf5a6b5c72d	本人奉行護膚極簡主義，要做激光脫毛先會考慮去美容院，廢事破產		3	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641539.mp3	25dca95fcf245bcb037a1c2f5c3c5547aa63d73caf5f4eff663c79bc4466c142	香港點解唔緊隨黨嘅步伐？		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641540.mp3	476d0d5f1465f8db8ec13e928392ad4ad327aaa57f3ac2b51a8f3f56770c2160	講真男人賣腳圖實好賣過女人		2	0	fifties	female_feminine			yue	
ef2549753d6376d8aea81d4634c69c2fca584dc24ef4371cd0888b815f75fe347d3333a752c36cb23f98234173f82388e48ad3cb8a78231735e427f1689d5d4f	common_voice_yue_40641541.mp3	3e1e002d3e257ed21ef5b64f9c2291189f54a1a405a3c4903fcee4463e27bd5a	可能佢哋真係淨係飲飲食食呢		2	0	fifties	female_feminine			yue	
